 nr    ra     dec     ppwr   sigp   pang sigang   ell    bee  galang ppwr_d   sigp pang_d sigang
  62  4.8951 22.7450   17.0    1.5   58.2    2.5  178.5  -13.1    5.4  336.4   11.5  110.8    1.0      3C132
  17  4.9984 25.2033   22.8    2.0   65.5    2.5  177.4  -10.5   12.4  196.1   10.7  119.2    1.6      3C133
  40  5.3046 16.5905   20.9    2.7   82.4    3.8  187.1  -11.9   25.7  463.4   39.5  161.1    2.4      3C138
  60  5.4800  6.4711   22.8    2.3   80.6    2.8  197.3  -15.1   21.0  300.1    4.4   66.4    0.4    3C142.1
  24  6.1786 26.0908   21.0    9.2   51.7   12.5  185.2    3.4  170.4   90.2    9.3   67.1    3.0      3C154
   7  6.7102  5.5800   27.6   10.3   86.4   10.7  207.0    0.6   23.6  272.5   12.1  118.1    1.3      3C167
  21  0.6374  9.7822   36.5    7.8   80.6    6.1  117.5  -53.0   85.5  103.4    5.7   87.3    1.6       3C18
 195  8.6338 13.3851   15.7    1.7   80.7    3.1  212.5   29.6   14.6  232.1    5.0   98.1    0.6      3C207
   3 15.2974 20.4484    0.0   -NaN   95.0   -NaN   29.6   56.0  166.5    0.0   -NaN   95.0   -NaN      3C318
  11  1.1040 13.0602    9.3    8.3  135.1   25.7  128.5  -49.7  130.0  736.4   39.0   58.1    1.5       3C33
   3 16.8112  5.0745    0.0   -NaN   95.0   -NaN   22.8   29.5  156.6    0.0   -NaN   95.0   -NaN      3C348
  19 20.2051 23.4283   15.5    3.1  101.2    5.7   63.0   -5.8  158.3   19.6   10.3  100.9   15.0      3C409
  43 20.3009 29.5433   24.0    2.3   85.2    2.7   68.8   -3.5  141.1  179.6    4.8  166.6    0.8      3C410
  76 22.8582 15.8821   14.0    3.6  148.3    7.4   85.3  -38.1    2.7  653.1   14.5   71.0    0.6    3C454.3
  24  2.3221  8.2219   34.9    3.9   94.6    3.2  157.1  -48.7   64.3  504.6   16.2    8.7    0.9       3C64
  80  2.9181  5.8455   22.9    3.5   97.6    4.4  169.7  -45.5   56.9  126.4    3.5  112.5    0.8       3C75
  24  3.9364 10.2947   26.2    3.9  174.3    4.3  179.4  -31.7  125.3  737.2   42.4   46.9    1.6       3C98
  15 17.9370 13.4783   13.9    6.1   86.0   12.6   39.1   18.2  151.5  156.1   11.5   63.1    2.1    4C13.65
  46  5.5298 19.4217    3.4    4.0  165.6   34.5  186.4   -7.7  108.0    9.7   13.0  137.3   38.1   P0531+19
   8  6.4915 10.4045   28.2   65.7   97.8   66.7  201.2   -0.1   35.5   52.9   59.4  113.8   32.1   T0629+10
